direction,src_text,output,reason,score
en_fr,AFNetworking,Réseaux d'affiliation,xling=0.59,0.592
en_fr,AMPScript,Écriture AMPS,xling=0.54,0.541
en_fr,ARKit,Résultats de l'analyse,len_ratio=4.40,0.000
en_fr,Abstraction Layers,Couches d'abstraction,xling=0.60,0.596
en_fr,Ada,Ada est là.,len_ratio=3.67,0.000
en_fr,Addressing Schemes,Systèmes d'adressage,xling=0.61,0.614
en_fr,Adhoc Queries,Résultats de l'enquête,xling=0.49,0.495
en_fr,Adware,Les logiciels publicitaires,len_ratio=4.50,0.000
en_fr,Aircrack-Ng,Crasse-aérienne,xling=0.51,0.513
en_fr,Airwatch,Moniteur d'air,xling=0.56,0.563
en_fr,Allaire ColdFusion,L'équipement est équipé d'un équipement:,lost_protected_token,0.000
en_fr,Anycast,En tout état de cause,xling=0.51,0.510
en_fr,Apache Ant,Apache fourmi,xling=0.60,0.596
en_fr,Apachebench,Les poupées de poupée,xling=0.36,0.363
en_fr,Apigee,Les abeilles,xling=0.62,0.619
en_fr,Applepay,Paiement à la pomme,xling=0.58,0.585
en_fr,Artifactory,Produits artificiels,xling=0.55,0.552
en_fr,Asking questions,Je pose des questions.,sentence_not_label,0.000
en_fr,Aspose,Appliquez-le,xling=0.48,0.478
en_fr,Assertj,Déclaration,xling=0.51,0.513
en_fr,Atomicity Consistency Isolation Durability (ACID),Résistance à l'écoulement et à l'écoulement,lost_protected_token,0.000
en_fr,Audit,Résultats de l'audit,len_ratio=4.00,0.000
en_fr,Auditd,Révision,xling=0.49,0.486
en_fr,Augmint,L'aubergine et l'aubergine,len_ratio=3.71,0.000
en_fr,Autodesk Scaleform,Formule d'échelle Autodesk,xling=0.62,0.616
en_fr,Autoencoder,Codificateur automatique,xling=0.60,0.596
en_fr,Autolayout,Déplacement automatique,xling=0.57,0.571
en_fr,Azure Sentinel,La Sentinelle d'Azur,xling=0.56,0.555
en_fr,Backbone Network,Réseau de colonne vertébrale,xling=0.48,0.482
en_fr,Backlogs,Enregistreur d'arrière-plan,xling=0.61,0.614
en_fr,Backup Agent,L' agent de secours,xling=0.49,0.493
en_fr,Bare Metal,Le métal nu,xling=0.58,0.575
en_fr,Batch Files,Fichiers de lot,xling=0.54,0.539
en_fr,Batch Processing,Traitement par lots,xling=0.57,0.569
en_fr,Batch Scripting,Écriture par lots,xling=0.62,0.615
en_fr,Bitrise,Résurgence,xling=0.37,0.371
en_fr,Bizmatics PrognoCIS EMR,L'équipement est équipé d'un appareil électronique.,lost_protected_token,0.000
en_fr,Blackbox,Boîte noire,xling=0.52,0.519
en_fr,Blade Servers,Serveurs à lame,xling=0.55,0.549
en_fr,Blazemeter,Mètre d'explosion,xling=0.57,0.569
en_fr,Blink,Un clin d'œil,xling=0.45,0.454
en_fr,Bluetooth Stack,L' épaisseur Bluetooth,xling=0.48,0.480
en_fr,Bomgar,Le boomerang,xling=0.46,0.459
en_fr,Bootstrap,Tape de démarrage,xling=0.45,0.451
en_fr,Bootstrapping,Le démarrage,xling=0.59,0.588
en_fr,Bot Framework,Cadre des robots,xling=0.52,0.518
en_fr,Browserstack,Réseau de navigation,xling=0.47,0.472
en_fr,Build Time,Prenez le temps,xling=0.60,0.602
en_fr,Bun,Bonnet,xling=0.46,0.463
en_fr,Bundler,Réservateur,xling=0.43,0.426
en_fr,CANopen,On peut ouvrir,xling=0.57,0.571
en_fr,CMake,Résultats de la mise en œuvre,len_ratio=5.80,0.000
en_fr,Canary Release,La libération des Canaries,xling=0.58,0.581
en_fr,Changeset,Réglage des changements,xling=0.56,0.564
en_fr,Cisco PIX,L'équipement est équipé d'un système d'exploitation automatique.,lost_protected_token,0.000
en_fr,Cisco TelePresence,L'équipement est équipé d'un système d'exploitation automatique.,lost_protected_token,0.000
en_fr,Cisco firePOWER,L'équipement est équipé d'un système d'exploitation automatique.,lost_protected_token,0.000
en_fr,Cloud Firestore,Cloud Établissement d'incendie,xling=0.62,0.618
en_fr,Cloudant,L'eau de pluie,xling=0.43,0.435
en_fr,Cloudbees,Les abeilles nuageuses,xling=0.59,0.587
en_fr,Cloudberry,Les fruits de la forêt,xling=0.36,0.364
en_fr,Cloudfoundry,La fondation des nuages,xling=0.48,0.481
en_fr,Cloudkit,Kit de nuage,xling=0.57,0.572
en_fr,Colab,Collagène,xling=0.55,0.550
en_fr,Concurrency Controls,Contrôles de la monnaie courante,xling=0.62,0.618
en_fr,Convolutional Neural Networks,Réseaux neuronaux convulsifs,xling=0.59,0.593
en_fr,Core Data (Software),Données de base (logiciel),xling=0.57,0.569
en_fr,Crashlytics,Les éclaboussures,xling=0.45,0.447
en_fr,Crimeware,Produits de délinquance,xling=0.60,0.604
en_fr,Cron,Résultats de l'enquête,len_ratio=5.50,0.000
en_fr,Dagster,Le pélican,xling=0.39,0.389
en_fr,Dask (Software),Le système d'exploitation de l'équipement,xling=0.47,0.471
en_fr,Data Lakes,Zt0zs,lost_protected_token,0.000
en_fr,Data Wrangling,Réservation des données,xling=0.58,0.584
en_fr,Datacap,Capture de données,xling=0.62,0.620
en_fr,Dataframe,Cadre de données,xling=0.61,0.606
en_fr,Dataweave,Tissage de données,xling=0.62,0.620
en_fr,Debugview,Vue de débogage,xling=0.62,0.615
en_fr,Deep Linking,Des liens profonds,xling=0.58,0.577
en_fr,Dell EMC UniSphere,L'équipement est équipé d'un fournisseur d'équipement.,lost_protected_token,0.000
en_fr,Design,Conception,xling=0.58,0.578
en_fr,Deskside Support,Soutien à l'extérieur,xling=0.61,0.606
en_fr,Desktop Computing,L' ordinateur de bureau,xling=0.54,0.537
en_fr,Dev Testing,Développement de l'épreuve,xling=0.58,0.575
en_fr,Dig,Faites des fouilles .,len_ratio=7.00,0.000
en_fr,Dirty Data,Données sales,xling=0.50,0.505
en_fr,Discord,Des désaccords,xling=0.57,0.573
en_fr,Distributed Firewall,Un pare-feu distribué,xling=0.52,0.518
en_fr,Distributed Testing,Épreuves réparties,xling=0.60,0.600
en_fr,Djbdns,Dépôts d'équipement,xling=0.44,0.441
en_fr,Drag And Drop,Traîner et déposer,xling=0.61,0.613
en_fr,Drive Mapping,Cartographie du lecteur,xling=0.59,0.589
en_fr,Dropwizard,Le sorcier,xling=0.38,0.382
en_fr,Easerver,Le serveur,xling=0.54,0.539
en_fr,Easymock,- Je ne sais pas.,sentence_not_label,0.000
en_fr,Easytrieve,Facile à retenir,xling=0.60,0.596
en_fr,Eggplant Functional,Fonctionnalité de l'aubergine,xling=0.57,0.570
en_fr,Eiffel,Épiphel,xling=0.53,0.530
en_fr,Ember CLI,L'empereur CLI,xling=0.55,0.553
en_fr,Endpoint Devices,Appareils de terminaison,xling=0.58,0.583
en_fr,Endpoint Security,Sécurité des points d'arrêt,xling=0.60,0.596
en_fr,Epic Systems,Systèmes épiques,xling=0.61,0.605
en_fr,Evernote,Événement,xling=0.53,0.529
en_fr,Fabric Operating System,Système d'exploitation du tissu,xling=0.55,0.554
en_fr,Failover,Échec,xling=0.46,0.463
en_fr,Failover Clustering,Le regroupement des échecs,xling=0.46,0.457
en_fr,Failover Testing,Échec des essais,xling=0.58,0.582
en_fr,Fastlane,Voyage rapide,xling=0.54,0.541
en_fr,Fetch API,Apportez API,xling=0.59,0.588
en_fr,Filebeat,Retour de fichier,xling=0.53,0.527
en_fr,Firebase Analytics,L'analyse de base de données,xling=0.61,0.614
en_fr,Firestore,Garde des incendies,xling=0.48,0.482
en_fr,Firewall,Paroi de sécurité,xling=0.44,0.445
en_fr,Flipgrid,Retour à l'équipement,xling=0.41,0.412
en_fr,Forth,Pour la première fois,len_ratio=4.20,0.000
en_fr,Frame Relay,Relais de cadre,xling=0.60,0.598
en_fr,Freeipa,Retour à l'emploi,xling=0.41,0.407
