site,url,lang,title,company,location,text,tags,posted_at,retrieved_at
hellowork,https://sample/hw/1,fr,Prompt Engineer H/F,DataAI,Paris,"Nous recherchons un Prompt Engineer pour concevoir et optimiser des prompts LLM. Stack: Python, LangChain, Docker, AWS. Experience en machine learning et NLP requise.",python|langchain|docker|aws|machine learning,2026-08-01T09:00:00+00:00,2026-08-04T00:00:00+00:00
hellowork,https://sample/hw/2,fr,Prompt Engineer (CDI) - Remote,Scale,Lyon,"En tant que Prompt Engineer, vous optimisez des pipelines LLM en Python. Competences: PyTorch, Hugging Face, Kubernetes, prompt engineering, RAG.",python|pytorch|hugging face|kubernetes|docker|git,2026-08-02T09:00:00+00:00,2026-08-04T00:00:00+00:00
hellowork,https://sample/hw/3,fr,Senior Prompt Engineer - DataAI SAS,DataAI,Nantes,"Prompt Engineer confirme pour une equipe IA generative. Python, TensorFlow, AWS, machine learning. Conception de prompts, evaluation de LLM, deploiement avec Docker et Kubernetes.",python|tensorflow|aws|docker|kubernetes,2026-08-03T09:00:00+00:00,2026-08-04T00:00:00+00:00
hellowork,https://sample/hw/4,fr,Platform Engineer F/H,Acme,Paris,"Platform Engineer pour construire notre plateforme interne. Kubernetes, Terraform, AWS, Docker, Go, CI/CD, observabilite.",kubernetes|terraform|aws|docker|go,2026-08-01T09:00:00+00:00,2026-08-04T00:00:00+00:00
hellowork,https://sample/hw/5,fr,Platform Engineer - Alternance,Acme,Bordeaux,"Rejoignez notre equipe SRE comme Platform Engineer. Terraform, Kubernetes, AWS, Ansible, Docker, Python.",terraform|kubernetes|aws|ansible|docker,2026-08-02T09:00:00+00:00,2026-08-04T00:00:00+00:00
hellowork,https://sample/hw/6,fr,AI Engineer H/F,Neural,Toulouse,"AI Engineer pour developper des solutions d'intelligence artificielle. Python, PyTorch, TensorFlow, machine learning, deep learning, Docker, AWS.",python|pytorch|tensorflow|machine learning|docker,2026-08-01T09:00:00+00:00,2026-08-04T00:00:00+00:00
hellowork,https://sample/hw/7,fr,AI Engineer (H/F) - Startup,Neural,Remote,"En tant qu'AI Engineer, vous concevez des systemes ML. Python, scikit-learn, PyTorch, SQL, Kubernetes.",python|scikit-learn|pytorch|sql,2026-08-03T09:00:00+00:00,2026-08-04T00:00:00+00:00
hellowork,https://sample/hw/8,fr,Data Scientist H/F,Insight,Paris,"Data Scientist pour analyser nos donnees. Python, R, SQL, machine learning, pandas, scikit-learn, TensorFlow.",python|sql|machine learning|pandas|tensorflow,2026-08-02T09:00:00+00:00,2026-08-04T00:00:00+00:00
hellowork,https://sample/hw/9,fr,Data Scientist confirme - Paris,Insight,Paris,"Data Scientist experimente. Python, SQL, machine learning, deep learning, Spark, AWS.",python|sql|machine learning|spark|aws,2026-08-03T09:00:00+00:00,2026-08-04T00:00:00+00:00
hellowork,https://sample/hw/10,fr,Developpeur Full Stack H/F,WebCo,Lille,"Developpeur Full Stack pour nos applications web. JavaScript, React, Node.js, Python, SQL, Docker, Git.",javascript|node.js|python|sql|docker,2026-08-01T09:00:00+00:00,2026-08-04T00:00:00+00:00
hellowork,https://sample/hw/11,fr,Developpeur Full Stack (CDI),WebCo,Lyon,"Full Stack developer. React, TypeScript, Node.js, PostgreSQL, Docker, AWS, Git.",typescript|node.js|postgresql|docker|aws,2026-08-02T09:00:00+00:00,2026-08-04T00:00:00+00:00
hellowork,https://sample/hw/12,fr,Chef de Rang H/F - Restaurant,Le Gourmet,Cannes,"Restaurant gastronomique recherche un chef de rang. Service en salle, accueil client, dressage des tables, connaissance des vins.",,2026-08-01T09:00:00+00:00,2026-08-04T00:00:00+00:00
hellowork,https://sample/hw/13,fr,Chef de Rang (CDI) - Hotel,Hotel Bleu,Nice,"Chef de rang pour notre brasserie. Service, relation client, encaissement, mise en place.",,2026-08-02T09:00:00+00:00,2026-08-04T00:00:00+00:00
hellowork,https://sample/hw/14,fr,Boulanger H/F,Maison Pain,Marseille,"Boulangerie artisanale recherche un boulanger. Petrissage, cuisson du pain, viennoiserie, respect des normes d'hygiene.",,2026-08-01T09:00:00+00:00,2026-08-04T00:00:00+00:00
